snapshot_date,total_value_pln,cash_pln,invested_pln,open_positions,exposure_pct
2022-06-01,1169928.78,1064721.59,105207.19,3,8.99261491797817
2022-06-02,1169928.78,1064721.59,105207.19,3,8.99261491797817
2022-06-03,1172584.1,1067372.57,105211.53,3,8.972621238851865
2022-06-06,1172584.1,1067372.57,105211.53,3,8.972621238851865
2022-06-07,1172654.17,1102540.44,70113.73,2,5.979062863862071
2022-06-08,1172654.17,1102540.44,70113.73,2,5.979062863862071
2022-06-09,1172036.33,1172036.33,0.0,0,0.0
2022-06-10,1172036.33,1172036.33,0.0,0,0.0
2022-06-13,1169938.11,1134776.97,35161.14,1,3.0053846181658272
2022-06-14,1169938.11,1134776.97,35161.14,1,3.0053846181658272
2022-06-15,1169885.47,1099626.19,70259.27,2,6.005653698733433
2022-06-16,1169885.47,1099626.19,70259.27,2,6.005653698733433
2022-06-17,1167575.24,1097317.55,70257.69,2,6.0174014995384795
2022-06-20,1167575.24,1097317.55,70257.69,2,6.0174014995384795
2022-06-21,1167575.24,1097317.55,70257.69,2,6.0174014995384795
2022-06-22,1167470.16,1027157.89,140312.26,4,12.01848790721983
2022-06-23,1163736.68,1093548.24,70188.44,2,6.031299107973464
2022-06-24,1163736.68,1093548.24,70188.44,2,6.031299107973464
2022-06-27,1167181.62,1132020.48,35161.14,1,3.0124823247302333
2022-06-28,1167503.05,1167503.05,0.0,0,0.0
2022-06-29,1167450.51,1132425.46,35025.05,1,3.000131457392571
2022-06-30,1167450.51,1132425.46,35025.05,1,3.000131457392571
2022-07-01,1167397.97,1097349.39,70048.59,2,6.000403615572503
2022-07-04,1167397.97,1097349.39,70048.59,2,6.000403615572503
2022-07-05,1167397.97,1097349.39,70048.59,2,6.000403615572503
2022-07-06,1167397.97,1097349.39,70048.59,2,6.000403615572503
2022-07-07,1167397.97,1097349.39,70048.59,2,6.000403615572503
2022-07-08,1167397.97,1097349.39,70048.59,2,6.000403615572503
2022-07-11,1167397.97,1097349.39,70048.59,2,6.000403615572503
2022-07-12,1167397.97,1097349.39,70048.59,2,6.000403615572503
2022-07-13,1167345.44,1062274.93,105070.51,3,9.000806993343804
2022-07-14,1166799.14,1061733.3,105065.83,3,9.00462010967886
2022-07-15,1166799.14,1061733.3,105065.83,3,9.00462010967886
2022-07-18,1166159.34,1026109.19,140050.15,4,12.0095209287609
2022-07-19,1166159.34,1026109.19,140050.15,4,12.0095209287609
2022-07-20,1166159.34,1026109.19,140050.15,4,12.0095209287609
2022-07-21,1166159.34,1026109.19,140050.15,4,12.0095209287609
2022-07-22,1166159.34,1026109.19,140050.15,4,12.0095209287609
2022-07-25,1166159.34,1026109.19,140050.15,4,12.0095209287609
2022-07-26,1166106.86,991071.93,175034.93,5,15.010196406871321
2022-07-27,1165097.3,1025084.29,140013.01,4,12.017280445161104
2022-07-28,1161665.98,1056673.34,104992.64,3,9.038109216213769
2022-07-29,1159940.34,1055082.59,104857.75,3,9.03992613964956
2022-08-01,1159387.16,1054940.86,104446.3,3,9.008750795549608
2022-08-02,1159387.16,1054940.86,104446.3,3,9.008750795549608
2022-08-03,1159387.16,1054940.86,104446.3,3,9.008750795549608
2022-08-04,1157611.42,1087963.32,69648.1,2,6.016535324090014
2022-08-05,1157611.42,1087963.32,69648.1,2,6.016535324090014
2022-08-08,1158272.85,1123474.64,34798.2,1,3.004318024030348
2022-08-09,1158804.61,1158804.61,0.0,0,0.0
2022-08-10,1158804.61,1158804.61,0.0,0,0.0
2022-08-11,1158804.61,1158804.61,0.0,0,0.0
2022-08-12,1158804.61,1158804.61,0.0,0,0.0
2022-08-15,1158804.61,1158804.61,0.0,0,0.0
2022-08-16,1158752.47,1123988.35,34764.12,1,3.000133410718857
2022-08-17,1158752.47,1123988.35,34764.12,1,3.000133410718857
2022-08-18,1158752.47,1123988.35,34764.12,1,3.000133410718857
2022-08-19,1158752.47,1123988.35,34764.12,1,3.000133410718857
2022-08-22,1158752.47,1123988.35,34764.12,1,3.000133410718857
2022-08-23,1158752.47,1123988.35,34764.12,1,3.000133410718857
2022-08-24,1158596.04,1019544.12,139051.92,4,12.001760337451179
2022-08-25,1158596.04,1019544.12,139051.92,4,12.001760337451179
2022-08-26,1158596.04,1019544.12,139051.92,4,12.001760337451179
2022-08-29,1158543.9,984734.11,173809.79,5,15.002434521471308
2022-08-30,1157625.64,949067.37,208558.27,6,18.016037550792326
2022-08-31,1153820.04,980045.6,173774.43,5,15.060791455832229
2022-09-01,1151995.26,1012983.42,139011.84,4,12.067049650881376
2022-09-02,1151943.42,978371.71,173571.71,5,15.067728760497628
2022-09-05,1151943.42,978371.71,173571.71,5,15.067728760497628
2022-09-06,1151943.42,978371.71,173571.71,5,15.067728760497628
2022-09-07,1149808.79,1010999.65,138809.14,4,12.072367267256674
2022-09-08,1148659.34,941130.06,207529.28,6,18.06708680051302
2022-09-09,1148659.34,941130.06,207529.28,6,18.06708680051302
2022-09-12,1148659.34,941130.06,207529.28,6,18.06708680051302
2022-09-13,1149292.12,1011283.94,138008.18,4,12.008102865962396
2022-09-14,1148368.37,1010341.21,138027.16,4,12.01941498963438
2022-09-15,1148316.7,975838.48,172478.22,5,15.020091582748908
2022-09-16,1146706.73,939825.27,206881.46,6,18.041357444549053
2022-09-19,1146894.19,940171.42,206722.77,6,18.02457208367234
2022-09-20,1146842.58,905713.03,241129.55,7,21.025514242765556
2022-09-21,1146911.35,940231.3,206680.05,6,18.020577614826113
2022-09-22,1146809.05,1009030.02,137779.03,4,12.014121269796396
2022-09-23,1142903.74,1005244.47,137659.27,4,12.044695032671779
2022-09-26,1141682.87,1038473.17,103209.7,3,9.04013738946613
2022-09-27,1140472.8,1071667.33,68805.47,2,6.033065409363555
2022-09-28,1140472.8,1071667.33,68805.47,2,6.033065409363555
2022-09-29,1140421.48,1037401.9,103019.58,3,9.03346541666332
2022-09-30,1140379.3,1106165.19,34214.11,1,3.000239481723318
2022-10-03,1140327.98,1071902.51,68425.47,2,6.0005078538895456
